OBJECTID,Codigo_Municipio,Nome_municipio,Pop_Total,Total_Respiradores,Respiradores_100mil_hab_Ind,Respiradores_SUS_100mil_hab_Ind,Total_SUS_Respiradores,Shape__Area,Shape__Length,P_Respiradores_SUS
223,5000708,Anastácio,25135,1,3.97851601352695,3.97851601352695,1,0.255467024414656,3.26160234907803,100
224,5000807,Anaurilândia,9035,1,11.0680686220255,11.0680686220255,1,0.297183475537508,2.32532238284375,100
225,3200409,Anchieta,29263,4,13.6691385025459,13.6691385025459,4,0.0357169135739923,1.26776466955741,100
226,4200804,Anchieta,5638,0,0,0,0,0.0210095207735321,1.13341342683687,0
227,2901304,Andaraí,13143,0,0,0,0,0.132370621287947,2.35748465987595,0
228,4101101,Andirá,20031,0,0,0,0,0.020795375650664,0.879163691803999,0
229,2901353,Andorinha,14595,1,6.85166152792052,0,0,0.112439770227667,1.99085072186689,0
230,3102605,Andradas,41077,4,9.73780947975753,9.73780947975753,4,0.0410732949069939,1.2135993940762,100
231,3502101,Andradina,57157,8,13.9965358573753,13.9965358573753,8,0.0836739604330887,1.51280438559661,100
232,4300661,André da Rocha,1333,0,0,0,0,0.0299170217022038,1.09683300070899,0
233,3102803,Andrelândia,12224,5,40.9031413612565,24.5418848167539,3,0.0877618513507628,2.38911067731471,60
234,3502200,Angatuba,25228,1,3.96384969081972,3.96384969081972,1,0.090769767623442,2.21530604381519,100
235,3102852,Angelândia,8520,0,0,0,0,0.0157751155813912,0.726726553358779,0
236,5000856,Angélica,10780,0,0,0,0,0.111403700737128,1.79717001831514,0
237,2601003,Angelim,11150,0,0,0,0,0.00970288691101473,0.542698628864374,0
238,4200903,Angelina,4801,0,0,0,0,0.0456849708432401,1.27358513963148,0
239,2901403,Angical,13977,0,0,0,0,0.127005073847272,1.968750242504,0
240,2200608,Angical do Piauí,6788,0,0,0,0,0.018252813060414,0.763705882440315,0
241,1701051,Angico,3433,0,0,0,0,0.0369257412156685,0.96059967931473,0
242,2400802,Angicos,11714,0,0,0,0,0.0605338615452808,1.35526330960239,0
243,3300100,Angra dos Reis,203785,69,33.859214368084,27.9706553475477,57,0.0726635425655786,4.98541301875043,82.6086956521739
244,2901502,Anguera,11221,0,0,0,0,0.0156026351928631,0.627239025924268,0
245,4101150,Ângulo,2928,0,0,0,0,0.00935099317450749,0.552056598725347,0
246,5201207,Anhanguera,1149,0,0,0,0,0.00486703904419983,0.328313809841975,0
247,3502309,Anhembi,6724,0,0,0,0,0.0647801575371432,1.67000690321592,0
248,3502408,Anhumas,4115,0,0,0,0,0.028130330810086,0.91987954765108,0
249,5201306,Anicuns,21850,1,4.5766590389016,4.5766590389016,1,0.0828383132957242,1.69961050907431,100
250,2200707,Anísio de Abreu,9880,0,0,0,0,0.0277987189889473,0.880389296473723,0
251,4201000,Anita Garibaldi,7133,0,0,0,0,0.0538045225832775,1.48369216738479,0
252,4201109,Anitápolis,3232,1,30.9405940594059,30.9405940594059,1,0.0496798193347558,1.17320576399043,100
253,1300102,Anori,21010,0,0,0,0,0.49169192627113,6.53690494829803,0
254,4300703,Anta Gorda,5981,1,16.7196121049992,16.7196121049992,1,0.0224909928290344,0.992840836859892,100
255,2901601,Antas,19291,2,10.3675288994868,10.3675288994868,2,0.0265530861489935,0.969902226567878,100
256,4101200,Antonina,18980,0,0,0,0,0.0790946653610263,1.51249044085063,0
257,2300804,Antonina do Norte,7353,0,0,0,0,0.0212748367809752,0.97186066172407,0
258,2200806,Antônio Almeida,3164,0,0,0,0,0.0528664687271316,1.07959291587662,0
259,2901700,Antônio Cardoso,11683,0,0,0,0,0.0243992917319531,0.821977538498225,0
260,3102902,Antônio Carlos,11445,0,0,0,0,0.0461595714646705,1.36837471935517,0
261,4201208,Antônio Carlos,8513,0,0,0,0,0.0213314202301262,0.769309289815779,0
262,3103009,Antônio Dias,9318,0,0,0,0,0.0677586345087775,1.69276279040252,0
263,2901809,Antônio Gonçalves,11798,2,16.9520257670792,16.9520257670792,2,0.0285255081287517,1.18146615958007,100
264,5000906,Antônio João,8956,0,0,0,0,0.100296064229269,2.69066434617377,0
265,2400901,Antônio Martins,7145,1,13.9958012596221,13.9958012596221,1,0.0200103186483318,0.963428950376203,100
266,4101309,Antônio Olinto,7434,0,0,0,0,0.0423251222289309,1.51889892860884,0
267,4300802,Antônio Prado,13050,2,15.3256704980843,15.3256704980843,2,0.0321519187540389,1.14071579086812,100
268,3103108,Antônio Prado de Minas,1598,0,0,0,0,0.00728108512242898,0.480157309955312,0
269,2500775,Aparecida,8347,0,0,0,0,0.0241884309422318,0.803290435324041,0
270,3502507,Aparecida,36157,18,49.7828912796969,49.7828912796969,18,0.0106573393691178,0.628945545632105,100
271,3502606,Aparecida d'Oeste,4196,1,23.8322211630124,23.8322211630124,1,0.0154980516936121,0.673909752879723,100
272,5201405,Aparecida de Goiânia,578179,125,21.6196022339103,21.446645416039,124,0.0236123932712076,1.00768537513058,99.2
273,5201454,Aparecida do Rio Doce,2474,1,40.4203718674212,40.4203718674212,1,0.0514316550656986,1.25879995778423,100
274,1701101,Aparecida do Rio Negro,4795,0,0,0,0,0.0956821978747655,1.75555073702701,0
275,5001003,Aparecida do Taboado,25745,0,0,0,0,0.237504193703842,2.12937671291703,0
276,3300159,Aperibé,11759,2,17.0082490007654,17.0082490007654,2,0.00824870244235854,0.462985252595344,100
277,3200508,Apiacá,7567,1,13.2152768600502,13.2152768600502,1,0.0168595978494182,0.880263135270392,100
278,5100805,Apiacás,10133,0,0,0,0,1.68370184470135,8.4884756155883,0
